"mu1";"mu2";"epsilon1.V1";"epsilon1.V2";"epsilon2.V1";"epsilon2.V2";"pi1";"pi2"
"V1";3.01838750990986;-2.14228117304976;0.990402615930701;0.11313861979777;4.43478156191269;-0.154398090659914;0.523;0.477
"V2";-0.00638226874750444;-0.0265244834482575;0.11313861979777;1.09287053056389;-0.154398090659914;1.03085538655461;0.523;0.477
