"mu1";"mu2";"epsilon1.V1";"epsilon1.V2";"epsilon2.V1";"epsilon2.V2";"pi1";"pi2"
"V1";0.0257293525979184;-1.96542202447965;0.881636231896367;-0.131260391846585;0.756976383041938;-0.0376331183067447;0.54;0.46
"V2";0.815338127767593;-0.126509329264737;-0.131260391846585;1.1088356617164;-0.0376331183067447;0.761069755485316;0.54;0.46
